sep=;
Series;Time;Value
alertmanager;2017-03-07T02:36:44.000Z;6160384
alertmanager;2017-03-07T02:36:54.000Z;6291456
alertmanager;2017-03-07T02:37:04.000Z;6287360
alertmanager;2017-03-07T02:37:14.000Z;6414336
alertmanager;2017-03-07T02:37:24.000Z;6414336
alertmanager;2017-03-07T02:37:34.000Z;6414336
alertmanager;2017-03-07T02:37:44.000Z;6356992
alertmanager;2017-03-07T02:37:54.000Z;6356992
alertmanager;2017-03-07T02:38:04.000Z;6352896
alertmanager;2017-03-07T02:38:14.000Z;6483968
alertmanager;2017-03-07T02:38:24.000Z;6356992
alertmanager;2017-03-07T02:38:34.000Z;6356992
alertmanager;2017-03-07T02:38:44.000Z;6352896
alertmanager;2017-03-07T02:38:54.000Z;6225920
alertmanager;2017-03-07T02:39:04.000Z;6356992
alertmanager;2017-03-07T02:39:14.000Z;6352896
alertmanager;2017-03-07T02:39:24.000Z;6225920
alertmanager;2017-03-07T02:39:34.000Z;6230016
alertmanager;2017-03-07T02:39:44.000Z;6356992
alertmanager;2017-03-07T02:39:54.000Z;6352896
alertmanager;2017-03-07T02:40:04.000Z;6230016
alertmanager;2017-03-07T02:40:14.000Z;6225920
alertmanager;2017-03-07T02:40:24.000Z;6225920
alertmanager;2017-03-07T02:40:34.000Z;6225920
alertmanager;2017-03-07T02:40:44.000Z;6225920
alertmanager;2017-03-07T02:40:54.000Z;6225920
alertmanager;2017-03-07T02:41:04.000Z;6225920
alertmanager;2017-03-07T02:41:14.000Z;6488064
alertmanager;2017-03-07T02:41:24.000Z;6488064
alertmanager;2017-03-07T02:41:34.000Z;6356992
alertmanager;2017-03-07T02:41:44.000Z;6352896
alertmanager;2017-03-07T02:41:54.000Z;6352896
alertmanager;2017-03-07T02:42:04.000Z;6352896
alertmanager;2017-03-07T02:42:14.000Z;6225920
alertmanager;2017-03-07T02:42:24.000Z;6225920
alertmanager;2017-03-07T02:42:34.000Z;6225920
alertmanager;2017-03-07T02:42:44.000Z;6361088
alertmanager;2017-03-07T02:42:54.000Z;6234112
alertmanager;2017-03-07T02:43:04.000Z;6213632
alertmanager;2017-03-07T02:43:14.000Z;6340608
alertmanager;2017-03-07T02:43:24.000Z;6213632
alertmanager;2017-03-07T02:43:34.000Z;6340608
alertmanager;2017-03-07T02:43:44.000Z;6340608
alertmanager;2017-03-07T02:43:54.000Z;6340608
alertmanager;2017-03-07T02:44:04.000Z;6332416
alertmanager;2017-03-07T02:44:14.000Z;6463488
alertmanager;2017-03-07T02:44:24.000Z;6463488
alertmanager;2017-03-07T02:44:34.000Z;6463488
alertmanager;2017-03-07T02:44:44.000Z;6336512
alertmanager;2017-03-07T02:44:54.000Z;6336512
alertmanager;2017-03-07T02:45:04.000Z;6463488
alertmanager;2017-03-07T02:45:14.000Z;6459392
alertmanager;2017-03-07T02:45:24.000Z;6234112
alertmanager;2017-03-07T02:45:34.000Z;6234112
alertmanager;2017-03-07T02:45:44.000Z;6193152
alertmanager;2017-03-07T02:45:54.000Z;6193152
alertmanager;2017-03-07T02:46:04.000Z;6193152
alertmanager;2017-03-07T02:46:14.000Z;6193152
alertmanager;2017-03-07T02:46:24.000Z;6193152
alertmanager;2017-03-07T02:46:34.000Z;6193152
alertmanager;2017-03-07T02:46:44.000Z;6193152
alertmanager;2017-03-07T02:46:54.000Z;6193152
alertmanager;2017-03-07T02:47:04.000Z;6193152
alertmanager;2017-03-07T02:47:14.000Z;6193152
alertmanager;2017-03-07T02:47:24.000Z;6193152
alertmanager;2017-03-07T02:47:34.000Z;6193152
alertmanager;2017-03-07T02:47:44.000Z;6193152
alertmanager;2017-03-07T02:47:54.000Z;6193152
alertmanager;2017-03-07T02:48:04.000Z;6176768
alertmanager;2017-03-07T02:48:14.000Z;6176768
alertmanager;2017-03-07T02:48:24.000Z;6176768
alertmanager;2017-03-07T02:48:34.000Z;6307840
alertmanager;2017-03-07T02:48:44.000Z;6438912
alertmanager;2017-03-07T02:48:54.000Z;6311936
alertmanager;2017-03-07T02:49:04.000Z;6180864
alertmanager;2017-03-07T02:49:14.000Z;6180864
alertmanager;2017-03-07T02:49:24.000Z;6180864
alertmanager;2017-03-07T02:49:34.000Z;6311936
alertmanager;2017-03-07T02:49:44.000Z;6311936
alertmanager;2017-03-07T02:49:54.000Z;6311936
alertmanager;2017-03-07T02:50:04.000Z;6307840
alertmanager;2017-03-07T02:50:14.000Z;6180864
alertmanager;2017-03-07T02:50:24.000Z;6180864
alertmanager;2017-03-07T02:50:34.000Z;6180864
alertmanager;2017-03-07T02:50:44.000Z;6180864
alertmanager;2017-03-07T02:50:54.000Z;6172672
alertmanager;2017-03-07T02:51:04.000Z;6172672
alertmanager;2017-03-07T02:51:14.000Z;6172672
alertmanager;2017-03-07T02:51:24.000Z;6172672
alertmanager;2017-03-07T02:51:34.000Z;6172672
alertmanager;2017-03-07T02:51:44.000Z;6172672
alertmanager;2017-03-07T02:51:54.000Z;6176768
alertmanager;2017-03-07T02:52:04.000Z;6303744
