sep=;
Series;Time;Value
name;2017-03-07T00:37:29.000Z;0.8379293281818089
name;2017-03-07T00:37:39.000Z;2.8071204259090656
name;2017-03-07T00:37:49.000Z;14.878569084090868
name;2017-03-07T00:37:59.000Z;29.0824659009091
name;2017-03-07T00:38:09.000Z;41.5072414559091
name;2017-03-07T00:38:19.000Z;54.577396722500005
name;2017-03-07T00:38:29.000Z;69.16354888045453
name;2017-03-07T00:38:39.000Z;76.38237027318189
name;2017-03-07T00:38:49.000Z;75.91415192431818
name;2017-03-07T00:38:59.000Z;75.45109669499998
name;2017-03-07T00:39:09.000Z;74.60635347386362
name;2017-03-07T00:39:19.000Z;74.79136923239517
name;2017-03-07T00:39:29.000Z;76.27944110597468
name;2017-03-07T00:39:39.000Z;75.16887586272729
name;2017-03-07T00:39:49.000Z;77.90842617795455
name;2017-03-07T00:39:59.000Z;77.90816502045453
name;2017-03-07T00:40:09.000Z;78.21119690295455
name;2017-03-07T00:40:19.000Z;76.71853370568186
name;2017-03-07T00:40:29.000Z;78.59162977326862
name;2017-03-07T00:40:39.000Z;77.76687566590911
name;2017-03-07T00:40:49.000Z;78.84874061363638
name;2017-03-07T00:40:59.000Z;75.76298751727272
name;2017-03-07T00:41:09.000Z;74.68553980890562
name;2017-03-07T00:41:19.000Z;73.26073299363631
name;2017-03-07T00:41:29.000Z;75.3234125213637
name;2017-03-07T00:41:39.000Z;74.47745369295461
name;2017-03-07T00:41:49.000Z;73.29585962545457
name;2017-03-07T00:41:59.000Z;73.79044156681817
name;2017-03-07T00:42:09.000Z;76.92610353659096
name;2017-03-07T00:42:19.000Z;76.49144792909084
name;2017-03-07T00:42:29.000Z;76.55025575762254
name;2017-03-07T00:42:39.000Z;75.89695974545454
name;2017-03-07T00:42:49.000Z;76.8943065429545
name;2017-03-07T00:42:59.000Z;78.52520347250001
name;2017-03-07T00:43:09.000Z;77.6743909231818
name;2017-03-07T00:43:19.000Z;78.42351579090914
name;2017-03-07T00:43:29.000Z;78.39714669545457
name;2017-03-07T00:43:39.000Z;77.2985368995563
name;2017-03-07T00:43:49.000Z;77.93155123797709
name;2017-03-07T00:43:59.000Z;77.88345531136362
name;2017-03-07T00:44:09.000Z;78.65630274522731
name;2017-03-07T00:44:19.000Z;77.95731225795458
name;2017-03-07T00:44:29.000Z;77.83169201309978
name;2017-03-07T00:44:39.000Z;77.47057321772728
name;2017-03-07T00:44:49.000Z;77.04115245431815
name;2017-03-07T00:44:59.000Z;76.1064816331818
name;2017-03-07T00:45:09.000Z;77.03702570545448
name;2017-03-07T00:45:19.000Z;76.23656517772729
name;2017-03-07T00:45:29.000Z;78.0964657509682
name;2017-03-07T00:45:39.000Z;78.65241483855128
name;2017-03-07T00:45:49.000Z;78.11216563318189
name;2017-03-07T00:45:59.000Z;76.94745968636364
name;2017-03-07T00:46:09.000Z;78.26377956068181
name;2017-03-07T00:46:19.000Z;74.35380200000003
name;2017-03-07T00:46:29.000Z;74.45835520539795
name;2017-03-07T00:46:39.000Z;74.6636269547728
name;2017-03-07T00:46:49.000Z;74.9664994538636
name;2017-03-07T00:46:59.000Z;74.77565421749996
name;2017-03-07T00:47:09.000Z;75.35813104101891
name;2017-03-07T00:47:19.000Z;76.66047820227271
name;2017-03-07T00:47:29.000Z;77.00292934022727
name;2017-03-07T00:47:39.000Z;77.00373585340907
name;2017-03-07T00:47:49.000Z;77.62877922931814
name;2017-03-07T00:47:59.000Z;74.84726150909097
name;2017-03-07T00:48:09.000Z;76.05102814454544
name;2017-03-07T00:48:19.000Z;76.77155638773229
name;2017-03-07T00:48:29.000Z;76.26486160295453
name;2017-03-07T00:48:39.000Z;77.13465906130112
name;2017-03-07T00:48:49.000Z;77.88675181113635
name;2017-03-07T00:48:59.000Z;78.39745367431816
name;2017-03-07T00:49:09.000Z;77.42855080068175
name;2017-03-07T00:49:19.000Z;75.77100585886369
name;2017-03-07T00:49:29.000Z;76.56320239749988
name;2017-03-07T00:49:39.000Z;77.02863564022726
name;2017-03-07T00:49:49.000Z;77.34895147659087
name;2017-03-07T00:49:59.000Z;77.34552237386359
name;2017-03-07T00:50:09.000Z;77.92039103886364
name;2017-03-07T00:50:19.000Z;79.53234291545456
name;2017-03-07T00:50:29.000Z;77.6065008068035
name;2017-03-07T00:50:39.000Z;77.70590932659087
name;2017-03-07T00:50:49.000Z;79.0476241695454
name;2017-03-07T00:50:59.000Z;79.16601311113625
name;2017-03-07T00:51:09.000Z;78.27265765568178
name;2017-03-07T00:51:19.000Z;79.0116213315909
name;2017-03-07T00:51:29.000Z;78.33964513227268
name;2017-03-07T00:51:39.000Z;78.61617344863632
name;2017-03-07T00:51:49.000Z;78.75487052545458
name;2017-03-07T00:51:59.000Z;79.17411425318184
name;2017-03-07T00:52:09.000Z;77.26635779772715
name;2017-03-07T00:52:19.000Z;77.41063687249999
name;2017-03-07T00:52:29.000Z;76.7175199966818
name;2017-03-07T00:52:39.000Z;78.2039460267459
name;2017-03-07T00:52:49.000Z;78.4835159643183
name;2017-03-07T00:52:59.000Z;79.14011193977282
name;2017-03-07T00:53:09.000Z;77.62837429227271
name;2017-03-07T00:53:19.000Z;77.40875339772722
name;2017-03-07T00:53:29.000Z;76.95190586386363
name;2017-03-07T00:53:39.000Z;76.53910521750012
name;2017-03-07T00:53:49.000Z;74.19978292022736
name;2017-03-07T00:53:59.000Z;73.02935982159087
name;2017-03-07T00:54:09.000Z;73.96976626856785
name;2017-03-07T00:54:19.000Z;72.32937181022729
name;2017-03-07T00:54:29.000Z;73.36065263732058
name;2017-03-07T00:54:39.000Z;74.23937617022716
name;2017-03-07T00:54:49.000Z;74.18362303636358
name;2017-03-07T00:54:59.000Z;75.93442855045448
name;2017-03-07T00:55:09.000Z;76.43899095045452
name;2017-03-07T00:55:19.000Z;77.20129416136369
name;2017-03-07T00:55:29.000Z;78.28783451835484
name;2017-03-07T00:55:39.000Z;77.76838140954544
name;2017-03-07T00:55:49.000Z;77.06522307159095
name;2017-03-07T00:55:59.000Z;77.09815962295458
name;2017-03-07T00:56:09.000Z;78.52765708840899
name;2017-03-07T00:56:19.000Z;76.97272865856993
name;2017-03-07T00:56:29.000Z;75.12548267395144
name;2017-03-07T00:56:39.000Z;74.8557225452272
name;2017-03-07T00:56:49.000Z;77.07251827386354
name;2017-03-07T00:56:59.000Z;76.27542808522718
name;2017-03-07T00:57:09.000Z;76.60926444110106
name;2017-03-07T00:57:19.000Z;77.15801855113645
name;2017-03-07T00:57:29.000Z;76.07437759749992
name;2017-03-07T00:57:39.000Z;77.82457899568183
name;2017-03-07T00:57:49.000Z;76.42779377363634
name;2017-03-07T00:57:59.000Z;76.57403710362193
name;2017-03-07T00:58:09.000Z;76.85920651999997
name;2017-03-07T00:58:19.000Z;75.78159493818185
name;2017-03-07T00:58:29.000Z;76.06592550886356
name;2017-03-07T00:58:39.000Z;76.13175066749984
name;2017-03-07T00:58:49.000Z;75.4149739113636
name;2017-03-07T00:58:59.000Z;77.02226719000006
name;2017-03-07T00:59:09.000Z;76.05001469250006
name;2017-03-07T00:59:19.000Z;76.95715144712432
name;2017-03-07T00:59:29.000Z;78.13762141902588
name;2017-03-07T00:59:39.000Z;80.20599593318182
name;2017-03-07T00:59:49.000Z;78.77277297113643
name;2017-03-07T00:59:59.000Z;78.11188275423194
name;2017-03-07T01:00:09.000Z;80.45485239340901
name;2017-03-07T01:00:19.000Z;80.25998826500008
name;2017-03-07T01:00:29.000Z;78.51179308159101
name;2017-03-07T01:00:39.000Z;78.28105879886368
name;2017-03-07T01:00:49.000Z;76.86975179840904
name;2017-03-07T01:00:59.000Z;78.55478114136365
name;2017-03-07T01:01:09.000Z;79.77786629713466
name;2017-03-07T01:01:19.000Z;78.72132397840906
name;2017-03-07T01:01:29.000Z;79.81567490363813
name;2017-03-07T01:01:39.000Z;78.30665135818174
name;2017-03-07T01:01:49.000Z;81.70038045749995
name;2017-03-07T01:01:59.000Z;81.3293028070455
name;2017-03-07T01:02:09.000Z;79.83075588409093
name;2017-03-07T01:02:19.000Z;81.18270602897329
name;2017-03-07T01:02:29.000Z;80.50551160113643
name;2017-03-07T01:02:39.000Z;80.00725919613635
name;2017-03-07T01:02:49.000Z;77.97390413295456
name;2017-03-07T01:02:59.000Z;79.94611475568185
name;2017-03-07T01:03:09.000Z;77.24205990590897
name;2017-03-07T01:03:19.000Z;80.71052273545469
name;2017-03-07T01:03:29.000Z;79.45833708000009
name;2017-03-07T01:03:39.000Z;80.60636484
name;2017-03-07T01:03:49.000Z;77.66054537468851
name;2017-03-07T01:03:59.000Z;79.23715334318186
name;2017-03-07T01:04:09.000Z;78.69353501995491
name;2017-03-07T01:04:19.000Z;81.50245669795456
name;2017-03-07T01:04:29.000Z;79.83032167431823
name;2017-03-07T01:04:39.000Z;78.49183522272719
name;2017-03-07T01:04:49.000Z;80.57495009886364
name;2017-03-07T01:04:59.000Z;80.44238639977269
name;2017-03-07T01:05:09.000Z;80.28873707454555
name;2017-03-07T01:05:19.000Z;77.88731982522711
name;2017-03-07T01:05:29.000Z;75.78663881772728
name;2017-03-07T01:05:39.000Z;76.49776152022724
name;2017-03-07T01:05:49.000Z;77.51230366772731
name;2017-03-07T01:05:59.000Z;77.36301839068186
name;2017-03-07T01:06:09.000Z;78.19041286204555
name;2017-03-07T01:06:19.000Z;78.181387915
name;2017-03-07T01:06:29.000Z;77.14332564726101
name;2017-03-07T01:06:39.000Z;75.63677678412333
name;2017-03-07T01:06:49.000Z;76.55133117920843
name;2017-03-07T01:06:59.000Z;73.9781324572727
name;2017-03-07T01:07:09.000Z;73.55233835568175
name;2017-03-07T01:07:19.000Z;72.35046180090899
name;2017-03-07T01:07:29.000Z;70.73355979913995
name;2017-03-07T01:07:39.000Z;71.53607004536448
name;2017-03-07T01:07:49.000Z;68.76428088954552
name;2017-03-07T01:07:59.000Z;71.77128580772741
name;2017-03-07T01:08:09.000Z;69.25521090911985
name;2017-03-07T01:08:19.000Z;72.82202912878861
name;2017-03-07T01:08:29.000Z;72.42677567348265
name;2017-03-07T01:08:39.000Z;73.21431157272731
name;2017-03-07T01:08:49.000Z;73.36241280636366
name;2017-03-07T01:08:59.000Z;74.59027810909086
name;2017-03-07T01:09:09.000Z;71.43896545954551
name;2017-03-07T01:09:19.000Z;72.95780192526232
name;2017-03-07T01:09:29.000Z;71.40002153022726
name;2017-03-07T01:09:39.000Z;73.24892439749998
name;2017-03-07T01:09:49.000Z;74.48441602934753
name;2017-03-07T01:09:59.000Z;73.37788266681812
name;2017-03-07T01:10:09.000Z;74.71649367795447
name;2017-03-07T01:10:19.000Z;72.9630960322727
name;2017-03-07T01:10:29.000Z;74.1444085977272
name;2017-03-07T01:10:39.000Z;71.44452636409085
name;2017-03-07T01:10:49.000Z;72.90841114431815
name;2017-03-07T01:10:59.000Z;72.880581704091
name;2017-03-07T01:11:09.000Z;72.86003116386362
name;2017-03-07T01:11:19.000Z;70.92288968113637
name;2017-03-07T01:11:29.000Z;72.69840877370417
name;2017-03-07T01:11:39.000Z;72.75357726132235
name;2017-03-07T01:11:49.000Z;72.75338713000006
name;2017-03-07T01:11:59.000Z;73.94407395431818
name;2017-03-07T01:12:09.000Z;72.24279191167103
name;2017-03-07T01:12:19.000Z;72.5724362663411
name;2017-03-07T01:12:29.000Z;72.77966965295451
name;2017-03-07T01:12:39.000Z;73.66236140431805
name;2017-03-07T01:12:49.000Z;72.65593197239964
name;2017-03-07T01:12:59.000Z;73.51759474886353
name;2017-03-07T01:13:09.000Z;74.9854593059092
name;2017-03-07T01:13:19.000Z;76.81715376075022
name;2017-03-07T01:13:29.000Z;77.3742606479545
name;2017-03-07T01:13:39.000Z;76.99229623818194
name;2017-03-07T01:13:49.000Z;80.57698963181818
name;2017-03-07T01:13:59.000Z;79.89381346543685
name;2017-03-07T01:14:09.000Z;80.62939737022724
name;2017-03-07T01:14:19.000Z;77.76610172159111
