sep=;
Series;Time;Value
alertmanager;2017-03-07T05:07:41.000Z;6610944
alertmanager;2017-03-07T05:07:51.000Z;6479872
alertmanager;2017-03-07T05:08:01.000Z;6479872
alertmanager;2017-03-07T05:08:11.000Z;6483968
alertmanager;2017-03-07T05:08:21.000Z;6483968
alertmanager;2017-03-07T05:08:31.000Z;6483968
alertmanager;2017-03-07T05:08:41.000Z;6615040
alertmanager;2017-03-07T05:08:51.000Z;6483968
alertmanager;2017-03-07T05:09:01.000Z;6483968
alertmanager;2017-03-07T05:09:11.000Z;6742016
alertmanager;2017-03-07T05:09:21.000Z;6742016
alertmanager;2017-03-07T05:09:31.000Z;6488064
alertmanager;2017-03-07T05:09:41.000Z;6488064
alertmanager;2017-03-07T05:09:51.000Z;6488064
alertmanager;2017-03-07T05:10:01.000Z;6488064
alertmanager;2017-03-07T05:10:11.000Z;6483968
alertmanager;2017-03-07T05:10:21.000Z;6483968
alertmanager;2017-03-07T05:10:31.000Z;6483968
alertmanager;2017-03-07T05:10:41.000Z;6483968
alertmanager;2017-03-07T05:10:51.000Z;6483968
alertmanager;2017-03-07T05:11:01.000Z;6483968
alertmanager;2017-03-07T05:11:11.000Z;6615040
alertmanager;2017-03-07T05:11:21.000Z;6615040
alertmanager;2017-03-07T05:11:31.000Z;6615040
alertmanager;2017-03-07T05:11:41.000Z;6610944
alertmanager;2017-03-07T05:11:51.000Z;6483968
alertmanager;2017-03-07T05:12:01.000Z;6483968
alertmanager;2017-03-07T05:12:11.000Z;6483968
alertmanager;2017-03-07T05:12:21.000Z;6483968
alertmanager;2017-03-07T05:12:31.000Z;6483968
alertmanager;2017-03-07T05:12:41.000Z;6488064
alertmanager;2017-03-07T05:12:51.000Z;6488064
alertmanager;2017-03-07T05:13:01.000Z;6488064
alertmanager;2017-03-07T05:13:11.000Z;6623232
alertmanager;2017-03-07T05:13:21.000Z;6623232
alertmanager;2017-03-07T05:13:31.000Z;6623232
alertmanager;2017-03-07T05:13:41.000Z;6492160
alertmanager;2017-03-07T05:13:51.000Z;6488064
alertmanager;2017-03-07T05:14:01.000Z;6488064
alertmanager;2017-03-07T05:14:11.000Z;6746112
alertmanager;2017-03-07T05:14:21.000Z;6492160
alertmanager;2017-03-07T05:14:31.000Z;6615040
alertmanager;2017-03-07T05:14:41.000Z;6451200
alertmanager;2017-03-07T05:14:51.000Z;6451200
alertmanager;2017-03-07T05:15:01.000Z;6451200
alertmanager;2017-03-07T05:15:11.000Z;6709248
alertmanager;2017-03-07T05:15:21.000Z;6463488
alertmanager;2017-03-07T05:15:31.000Z;6463488
alertmanager;2017-03-07T05:15:41.000Z;6471680
alertmanager;2017-03-07T05:15:51.000Z;6471680
alertmanager;2017-03-07T05:16:01.000Z;6471680
alertmanager;2017-03-07T05:16:11.000Z;6598656
alertmanager;2017-03-07T05:16:21.000Z;6594560
alertmanager;2017-03-07T05:16:31.000Z;6594560
alertmanager;2017-03-07T05:16:41.000Z;6504448
alertmanager;2017-03-07T05:16:51.000Z;6504448
