sep=;
Series;Time;Value
alertmanager;2017-03-07T00:57:09.000Z;6033408
alertmanager;2017-03-07T00:57:19.000Z;6041600
alertmanager;2017-03-07T00:57:29.000Z;6041600
alertmanager;2017-03-07T00:57:39.000Z;6045696
alertmanager;2017-03-07T00:57:49.000Z;6086656
alertmanager;2017-03-07T00:57:59.000Z;6078464
alertmanager;2017-03-07T00:58:09.000Z;6082560
alertmanager;2017-03-07T00:58:19.000Z;6078464
alertmanager;2017-03-07T00:58:29.000Z;6078464
alertmanager;2017-03-07T00:58:39.000Z;6078464
alertmanager;2017-03-07T00:58:49.000Z;6103040
alertmanager;2017-03-07T00:58:59.000Z;6103040
alertmanager;2017-03-07T00:59:09.000Z;6103040
alertmanager;2017-03-07T00:59:19.000Z;6119424
alertmanager;2017-03-07T00:59:29.000Z;6119424
alertmanager;2017-03-07T00:59:39.000Z;6119424
alertmanager;2017-03-07T00:59:49.000Z;6139904
alertmanager;2017-03-07T00:59:59.000Z;6135808
alertmanager;2017-03-07T01:00:09.000Z;6135808
alertmanager;2017-03-07T01:00:19.000Z;6139904
alertmanager;2017-03-07T01:00:29.000Z;6139904
alertmanager;2017-03-07T01:00:39.000Z;6139904
alertmanager;2017-03-07T01:00:49.000Z;6139904
alertmanager;2017-03-07T01:00:59.000Z;6131712
alertmanager;2017-03-07T01:01:09.000Z;6131712
alertmanager;2017-03-07T01:01:19.000Z;6131712
alertmanager;2017-03-07T01:01:29.000Z;6131712
alertmanager;2017-03-07T01:01:39.000Z;6131712
alertmanager;2017-03-07T01:01:49.000Z;6131712
alertmanager;2017-03-07T01:01:59.000Z;6131712
alertmanager;2017-03-07T01:02:09.000Z;6135808
alertmanager;2017-03-07T01:02:19.000Z;6135808
alertmanager;2017-03-07T01:02:29.000Z;6139904
alertmanager;2017-03-07T01:02:39.000Z;6139904
alertmanager;2017-03-07T01:02:49.000Z;6135808
alertmanager;2017-03-07T01:02:59.000Z;6135808
alertmanager;2017-03-07T01:03:09.000Z;6135808
alertmanager;2017-03-07T01:03:19.000Z;6139904
alertmanager;2017-03-07T01:03:29.000Z;6135808
alertmanager;2017-03-07T01:03:39.000Z;6139904
alertmanager;2017-03-07T01:03:49.000Z;6135808
alertmanager;2017-03-07T01:03:59.000Z;6135808
alertmanager;2017-03-07T01:04:09.000Z;6139904
alertmanager;2017-03-07T01:04:19.000Z;6139904
alertmanager;2017-03-07T01:04:29.000Z;6135808
alertmanager;2017-03-07T01:04:39.000Z;6139904
alertmanager;2017-03-07T01:04:49.000Z;6139904
alertmanager;2017-03-07T01:04:59.000Z;6135808
alertmanager;2017-03-07T01:05:09.000Z;6139904
alertmanager;2017-03-07T01:05:19.000Z;6139904
alertmanager;2017-03-07T01:05:29.000Z;6139904
alertmanager;2017-03-07T01:05:39.000Z;6139904
alertmanager;2017-03-07T01:05:49.000Z;6139904
alertmanager;2017-03-07T01:05:59.000Z;6148096
alertmanager;2017-03-07T01:06:09.000Z;6148096
alertmanager;2017-03-07T01:06:19.000Z;6148096
alertmanager;2017-03-07T01:06:29.000Z;6144000
alertmanager;2017-03-07T01:06:39.000Z;6144000
alertmanager;2017-03-07T01:06:49.000Z;6144000
alertmanager;2017-03-07T01:06:59.000Z;6144000
alertmanager;2017-03-07T01:07:09.000Z;6144000
alertmanager;2017-03-07T01:07:19.000Z;6148096
alertmanager;2017-03-07T01:07:29.000Z;6144000
alertmanager;2017-03-07T01:07:39.000Z;6148096
alertmanager;2017-03-07T01:07:49.000Z;6148096
alertmanager;2017-03-07T01:07:59.000Z;6148096
alertmanager;2017-03-07T01:08:09.000Z;6152192
alertmanager;2017-03-07T01:08:19.000Z;6152192
alertmanager;2017-03-07T01:08:29.000Z;6156288
alertmanager;2017-03-07T01:08:39.000Z;6152192
alertmanager;2017-03-07T01:08:49.000Z;6152192
alertmanager;2017-03-07T01:08:59.000Z;6152192
alertmanager;2017-03-07T01:09:09.000Z;6152192
alertmanager;2017-03-07T01:09:19.000Z;6127616
alertmanager;2017-03-07T01:09:29.000Z;6127616
alertmanager;2017-03-07T01:09:39.000Z;6127616
alertmanager;2017-03-07T01:09:49.000Z;6127616
alertmanager;2017-03-07T01:09:59.000Z;6127616
alertmanager;2017-03-07T01:10:09.000Z;6127616
alertmanager;2017-03-07T01:10:19.000Z;6131712
alertmanager;2017-03-07T01:10:29.000Z;6127616
alertmanager;2017-03-07T01:10:39.000Z;6131712
alertmanager;2017-03-07T01:10:49.000Z;6131712
alertmanager;2017-03-07T01:10:59.000Z;6127616
alertmanager;2017-03-07T01:11:09.000Z;6131712
alertmanager;2017-03-07T01:11:19.000Z;6131712
alertmanager;2017-03-07T01:11:29.000Z;6131712
alertmanager;2017-03-07T01:11:39.000Z;6131712
alertmanager;2017-03-07T01:11:49.000Z;6131712
alertmanager;2017-03-07T01:11:59.000Z;6111232
alertmanager;2017-03-07T01:12:09.000Z;6111232
alertmanager;2017-03-07T01:12:19.000Z;6111232
alertmanager;2017-03-07T01:12:29.000Z;6111232
alertmanager;2017-03-07T01:12:39.000Z;6115328
alertmanager;2017-03-07T01:12:49.000Z;6115328
alertmanager;2017-03-07T01:12:59.000Z;6123520
alertmanager;2017-03-07T01:13:09.000Z;6119424
alertmanager;2017-03-07T01:13:19.000Z;6119424
alertmanager;2017-03-07T01:13:29.000Z;6119424
alertmanager;2017-03-07T01:13:39.000Z;6119424
alertmanager;2017-03-07T01:13:49.000Z;6119424
alertmanager;2017-03-07T01:13:59.000Z;6119424
alertmanager;2017-03-07T01:14:09.000Z;6127616
alertmanager;2017-03-07T01:14:19.000Z;6135808
alertmanager;2017-03-07T01:14:29.000Z;6135808
alertmanager;2017-03-07T01:14:39.000Z;6135808
alertmanager;2017-03-07T01:14:49.000Z;6135808
alertmanager;2017-03-07T01:14:59.000Z;6135808
alertmanager;2017-03-07T01:15:09.000Z;6135808
alertmanager;2017-03-07T01:15:19.000Z;6135808
alertmanager;2017-03-07T01:15:29.000Z;6135808
alertmanager;2017-03-07T01:15:39.000Z;6135808
alertmanager;2017-03-07T01:15:49.000Z;6139904
alertmanager;2017-03-07T01:15:59.000Z;6139904
alertmanager;2017-03-07T01:16:09.000Z;6139904
alertmanager;2017-03-07T01:16:19.000Z;6139904
alertmanager;2017-03-07T01:16:29.000Z;6139904
alertmanager;2017-03-07T01:16:39.000Z;6135808
alertmanager;2017-03-07T01:16:49.000Z;6135808
alertmanager;2017-03-07T01:16:59.000Z;6135808
alertmanager;2017-03-07T01:17:09.000Z;6139904
alertmanager;2017-03-07T01:17:19.000Z;6135808
alertmanager;2017-03-07T01:17:29.000Z;6135808
alertmanager;2017-03-07T01:17:39.000Z;6135808
alertmanager;2017-03-07T01:17:49.000Z;6135808
alertmanager;2017-03-07T01:17:59.000Z;6135808
